"The Christmas Chronicles","magnet:?xt=urn:btih:F77CE6977ADE7ECC22455798A3D7FE29A090CC13&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet&dn=%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5%20%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B8%20%2F%20The%20Christmas%20Chronicles%20(%D0%9A%D0%BB%D1%8D%D0%B9%20%D0%9A%D1%8D%D0%B9%D1%82%D0%B8%D1%81%20%2F%20Clay%20Kaytis)%20%5B2018%2C%20%D0%A1%D0%A8%D0%90%2C%20%D1%84%D1%8D%D0%BD%D1%82%D0%B5%D0%B7%D0%B8%2C%20%D0%BA%D0%BE%D0%BC%D0%B5%D0%B4%D0%B8%D1%8F%2C%20%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%2C%20WEB-DL%201080p%5D%20Dub%20%2B%20Original%20"
Brawl in cell block 99,"magnet:?xt=urn:btih:E234A72155471628870BF4AE2ECBF9B82DD43F32&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet&dn=%D0%94%D1%80%D0%B0%D0%BA%D0%B0%20%D0%B2%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B5%2099%20%2F%20%D0%91%D0%BE%D0%B9%D0%BD%D1%8F%20%D0%B2%20%D0%B1%D0%BB%D0%BE%D0%BA%D0%B5%2099%20%2F%20Brawl%20in%20cell%20block%2099%20(%D0%A1.%20%D0%9A%D1%80%D1%8D%D0%B9%D0%B3%20%D0%97%D0%B0%D0%BB%D0%B5%D1%80%20%2F%20S.%20Craig%20Zahler)%20%5B2017%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%B4%D1%80%D0%B0%D0%BC%D0%B0%2C%20%D1%82%D1%80%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%2C%20BDRemux%201080p%5D%20%5BUSA%20Transf"
"Accident Man","magnet:?xt=urn:btih:53E2B566177D64FFADF701F28CF72F7D1D500A44&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet&dn=%D0%9D%D0%B5%D1%81%D1%87%D0%B0%D1%81%D1%82%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B9%20%2F%20Accident%20Man%20(%D0%94%D0%B6%D0%B5%D1%81%D1%81%D0%B8%20%D0%94%D0%B6%D0%BE%D0%BD%D1%81%D0%BE%D0%BD%20%2F%20Jesse%20Johnson)%20%5B2018%2C%20%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F%2C%20%D0%B1%D0%BE%D0%B5%D0%B2%D0%B8%D0%BA%2C%20%D1%82%D1%80%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%2C%20%D0%BA%D1%80%D0%B8%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB%2C%20BDRip%201080p%5D%20MVO%20%2B%20Original%20(eng)%20"
Deadpool,"magnet:?xt=urn:btih:240B806DA08EF3233159302E50BAB5C172A9F736&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet&dn=%D0%94%D1%8D%D0%B4%D0%BF%D1%83%D0%BB%20%2F%20Deadpool%20(%D0%A2%D0%B8%D0%BC%20%D0%9C%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%20%2F%20Tim%20Miller)%20%5B2016%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0%2C%20%D1%84%D0%B0%D0%BD%D1%82%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B0%2C%20%D0%B1%D0%BE%D0%B5%D0%B2%D0%B8%D0%BA%2C%20%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%2C%20BDRip%201080p%5D%20Dub%20%2B%20VO%20(%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%93%D0%B0%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9)%20%2B%20VO%20(zamez)"
Operation Finale,"magnet:?xt=urn:btih:5A1F6A0B74368E716EA821FCAD96892555F6E1E4&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet&dn=%D0%9E%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%C2%AB%D0%A4%D0%B8%D0%BD%D0%B0%D0%BB%C2%BB%20%2F%20Operation%20Finale%20(%D0%9A%D1%80%D0%B8%D1%81%20%D0%92%D0%B0%D0%B9%D1%86%20%2F%20Chris%20Weitz)%20%5B2018%2C%20%D0%A1%D0%A8%D0%90%2C%20%D1%82%D1%80%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%2C%20%D0%B4%D1%80%D0%B0%D0%BC%D0%B0%2C%20%D0%B1%D0%B8%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F%2C%20%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%2C%20WEB-DL%201080p%5D%20Dub%20%2B%20Original%20(Eng)%20%2B%20Sub"
Patrick,"magnet:?xt=urn:btih:83940E363A2E5EE34F96FE8C87F6C8FC3B43A41B&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet&dn=%D0%9F%D0%B0%D1%82%D1%80%D0%B8%D0%BA%20%2F%20Patrick%20(%D0%9C%D0%B0%D1%80%D0%B8%20%D0%9C%D0%BE%D0%BD%D0%B6%20%2F%20Marie%20Monge)%20%5B2018%2C%20%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F%2C%20%D0%9A%D0%BE%D0%BC%D0%B5%D0%B4%D0%B8%D1%8F%2C%20WEB-DL%201080p%5D%20DUB%20(iTunes)"
"Ant-Man and the Wasp","magnet:?xt=urn:btih:2257DAF9B6A4AF440A1AB016AB65463165B8763F&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet&dn=%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA-%D0%BC%D1%83%D1%80%D0%B0%D0%B2%D0%B5%D0%B9%20%D0%B8%20%D0%9E%D1%81%D0%B0%20%2F%20Ant-Man%20and%20the%20Wasp%20(%D0%9F%D0%B5%D0%B9%D1%82%D0%BE%D0%BD%20%D0%A0%D0%B8%D0%B4%20%2F%20Peyton%20Reed)%20%5B2018%2C%20%D0%A1%D0%A8%D0%90%2C%20%D1%84%D0%B0%D0%BD%D1%82%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B0%2C%20%D0%B1%D0%BE%D0%B5%D0%B2%D0%B8%D0%BA%2C%20%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%2C%20BDRip%201080p%5D%20Dub%20%2B%20Ukr%20%2B%20Original"
"Den of Thieves","magnet:?xt=urn:btih:DC820BC156DDC74ACA03175CEF032DA144484432&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet&dn=%D0%9E%D1%85%D0%BE%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%B2%D0%BE%D1%80%D0%BE%D0%B2%20%2F%20Den%20of%20Thieves%20(%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%B0%D0%BD%20%D0%93%D1%8C%D1%8E%D0%B4%D0%B3%D1%8D%D1%81%D1%82%20%2F%20Christian%20Gudegast)%20%5B2018%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%B1%D0%BE%D0%B5%D0%B2%D0%B8%D0%BA%2C%20%D1%82%D1%80%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%2C%20%D0%B4%D1%80%D0%B0%D0%BC%D0%B0%2C%20%D0%BA%D1%80%D0%B8%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB%2C%20%D0%B4%D0%B5%D1%82%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%2C%20BDRip%20720p%5D%20Dub%20(iTun)"
"Hell or High Water","magnet:?xt=urn:btih:4F6524CAB2119CEA07D9572D99E969917782EF89&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet&dn=%D0%9B%D1%8E%D0%B1%D0%BE%D0%B9%20%D1%86%D0%B5%D0%BD%D0%BE%D0%B9%20%2F%20Hell%20or%20High%20Water%20(%D0%94%D1%8D%D0%B2%D0%B8%D0%B4%20%D0%9C%D0%B0%D0%BA%D0%BA%D0%B5%D0%BD%D0%B7%D0%B8%20%2F%20David%20Mackenzie)%20%5B2016%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%B4%D1%80%D0%B0%D0%BC%D0%B0%2C%20%D0%BA%D1%80%D0%B8%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB%2C%20BDRip%201080p%5D%20Dub%20%2B%20Sub%20(Eng)%20%2B%20Original%20(Eng)"
Mile 22,"magnet:?xt=urn:btih:687864853CF0F93E111433E335A91954400D1AE3&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet&dn=%5BATV3%5D%2022%20%D0%BC%D0%B8%D0%BB%D0%B8%20%2F%20Mile%2022%20(%D0%9F%D0%B8%D1%82%D0%B5%D1%80%20%D0%91%D0%B5%D1%80%D0%B3%20%2F%20Peter%20Berg%20)%20%5B2018%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%91%D0%BE%D0%B5%D0%B2%D0%B8%D0%BA%2C%20%D1%82%D1%80%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%2C%20%D0%BA%D1%80%D0%B8%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB%2C%20%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%2C%20WEB-DL%2C%20HD%20(1080p)%5D%20DUB"
"Charlie and the Chocolate Factory (2015)","magnet:?xt=urn:btih:8E40861BCEFDA4797BA8E43C508E2E835D2D0B74&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet&dn=%D0%A7%D0%B0%D1%80%D0%BB%D0%B8%20%D0%B8%20%D1%88%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F%20%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%B0%20%2F%20Charlie%20and%20the%20Chocolate%20Factory%20(%D0%A2%D0%B8%D0%BC%20%D0%91%D0%B0%D1%80%D1%82%D0%BE%D0%BD)%20(1080)%20%5B2005%2C%20%D1%84%D1%8D%D0%BD%D1%82%D0%B5%D0%B7%D0%B8%2C%20%D0%BA%D0%BE%D0%BC%D0%B5%D0%B4%D0%B8%D1%8F%2C%20%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%2C%20%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9%5D"
"Mission: Impossible - Fallout","magnet:?xt=urn:btih:0CDC81BA583C0D3BF7595AABED78BF6877E5A770&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet&dn=%D0%9C%D0%B8%D1%81%D1%81%D0%B8%D1%8F%20%D0%BD%D0%B5%D0%B2%D1%8B%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D0%BC%D0%B0%3A%20%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%2F%20Mission%3A%20Impossible%20-%20Fallout%20(%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%84%D0%B5%D1%80%20%D0%9C%D0%B0%D0%BA%D0%9A%D1%83%D0%BE%D1%80%D1%80%D0%B8%20%2F%20Christopher%20McQuarrie)%20%5B2018%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%9A%D0%B8%D1%82%D0%B0%D0%B9%2C%20%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D1%8F%2C%20%D0%9D%D0%BE%D1%80%D0%B2%D0%B5%D0%B3%D0%B8%D1%8F%2C%20%D0%B1%D0%BE"
"Office Christmas Party","magnet:?xt=urn:btih:B007DDD3FCF476D577504874D1F8EE5F87D6D601&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet&dn=%D0%9D%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE%D0%B4%D0%BD%D0%B8%D0%B9%20%D0%BA%D0%BE%D1%80%D0%BF%D0%BE%D1%80%D0%B0%D1%82%D0%B8%D0%B2%20%2F%20Office%20Christmas%20Party%20(%D0%94%D0%B6%D0%BE%D1%88%20%D0%93%D0%BE%D1%80%D0%B4%D0%BE%D0%BD%20%2F%20Josh%20Gordon%2C%20%D0%A3%D0%B8%D0%BB%D0%BB%20%D0%A1%D0%BF%D0%B5%D0%BA%20%2F%20Will%20Speck)%20%5B2016%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%BA%D0%BE%D0%BC%D0%B5%D0%B4%D0%B8%D1%8F%2C%20BDRip%201080p%5D%20%5BTheatrical%20Cut%5D%20"
"Get Santa","magnet:?xt=urn:btih:8A38B8621F0FFA9FEDEA32706306354769D91DA3&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet&dn=%D0%94%D0%BE%D1%81%D1%82%D0%B0%D1%82%D1%8C%20%D0%A1%D0%B0%D0%BD%D1%82%D1%83%20%2F%20Get%20Santa%20%2F%20Untitled%20Christmas%20Project%20(%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%84%D0%B5%D1%80%20%D0%A1%D0%BC%D0%B8%D1%82%20%2F%20Christopher%20Smith)%20%5B2014%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F%2C%20%D0%BA%D0%BE%D0%BC%D0%B5%D0%B4%D0%B8%D1%8F%2C%20%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9%2C%20%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F"
"The Terminal (2014)","magnet:?xt=urn:btih:05BEEC9CB2EBF4C4F8DDB32429C37DDD5ED91FB5&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet&dn=%D0%A2%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB%20%2F%20The%20Terminal%20(%D0%A1%D1%82%D0%B8%D0%B2%D0%B5%D0%BD%20%D0%A1%D0%BF%D0%B8%D0%BB%D0%B1%D0%B5%D1%80%D0%B3%20%2F%20Steven%20Spielberg)%20%5B2004%2C%20%D0%A1%D0%A8%D0%90%2C%20%D0%B4%D1%80%D0%B0%D0%BC%D0%B0%2C%20%D0%BA%D0%BE%D0%BC%D0%B5%D0%B4%D0%B8%D1%8F%2C%20BDRip%201080p%5D%20Dub%20%2B%20MVO%20%2B%20DVO%20%2B%202x%20AVO%20%2B%202%D1%85%20Ukr%20%2B%20Original%20Eng"
"Venom","magnet:?xt=urn:btih:5FE4950578857F85B86080E2DB35F13AFC597984&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet&dn=%D0%92%D0%B5%D0%BD%D0%BE%D0%BC%20%2F%20Venom%20(%D0%A0%D1%83%D0%B1%D0%B5%D0%BD%20%D0%A4%D0%BB%D1%8F%D0%B9%D1%88%D0%B5%D1%80%20%2F%20Ruben%20Fleischer)%20%5B2018%2C%20%D0%A1%D0%A8%D0%90%2C%20%D1%83%D0%B6%D0%B0%D1%81%D1%8B%2C%20%D1%84%D0%B0%D0%BD%D1%82%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B0%2C%20%D0%B1%D0%BE%D0%B5%D0%B2%D0%B8%D0%BA%2C%20%D1%82%D1%80%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%2C%20WEB-DL%201080p%5D%20%5B%D0%9B%D0%BE%D0%BA%D0%B0%D0%BB%D0%B8%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE%D1%80%D1%8F%D0%B4%5D%20Dub"
"Real Steel","magnet:?xt=urn:btih:79252EAE56017DC6C316F33E949CD7627116C294&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet&dn=%D0%96%D0%B8%D0%B2%D0%B0%D1%8F%20%D1%81%D1%82%D0%B0%D0%BB%D1%8C%20%2F%20Real%20Steel%20(%D0%A8%D0%BE%D0%BD%20%D0%9B%D0%B5%D0%B2%D0%B8%20%2F%20Shawn%20Levy)%20%5B2011%2C%20%D0%A1%D0%A8%D0%90%2C%20%D1%84%D0%B0%D0%BD%D1%82%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B0%2C%20%D0%B1%D0%BE%D0%B5%D0%B2%D0%B8%D0%BA%2C%20%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9%2C%20WEBRip%201080p%5D%20%5BOpen%20Matte%5D%20%5B%D0%9B%D0%BE%D0%BA%D0%B0%D0%BB%D0%B8%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE%D1%80%D1%8F%D0%B4%5D%20Dub%20(R)"
